127.0.0.1 - - [29/Oct/2021:21:29:15 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Oct/2021:21:29:16 +0700] "GET /myweb/index.jsp HTTP/1.1" 200 1396
0:0:0:0:0:0:0:1 - - [29/Oct/2021:21:29:17 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [29/Oct/2021:22:18:10 +0700] "GET /myweb/ HTTP/1.1" 200 1220
0:0:0:0:0:0:0:1 - - [29/Oct/2021:22:18:12 +0700] "GET /myweb/cart?productCode=8601 HTTP/1.1" 200 1671
0:0:0:0:0:0:0:1 - - [29/Oct/2021:22:24:02 +0700] "GET /myweb/cart?productCode=8601 HTTP/1.1" 200 1671
0:0:0:0:0:0:0:1 - - [29/Oct/2021:22:51:36 +0700] "GET /myweb/cart?productCode=8601 HTTP/1.1" 200 1671
0:0:0:0:0:0:0:1 - - [29/Oct/2021:22:51:37 +0700] "GET /myweb/cart?productCode=8601 HTTP/1.1" 200 1671
0:0:0:0:0:0:0:1 - - [29/Oct/2021:22:51:37 +0700] "GET /myweb/cart?productCode=8601 HTTP/1.1" 200 1671
0:0:0:0:0:0:0:1 - - [29/Oct/2021:22:51:39 +0700] "GET /myweb/cart?productCode=8601 HTTP/1.1" 200 1671
0:0:0:0:0:0:0:1 - - [29/Oct/2021:23:08:16 +0700] "GET /myweb/index.jsp HTTP/1.1" 200 1220
0:0:0:0:0:0:0:1 - - [29/Oct/2021:23:08:19 +0700] "GET /myweb/cart?productCode=8601 HTTP/1.1" 200 1671
0:0:0:0:0:0:0:1 - - [29/Oct/2021:23:08:27 +0700] "GET /myweb/cart?productCode=8601 HTTP/1.1" 200 1671
0:0:0:0:0:0:0:1 - - [29/Oct/2021:23:08:36 +0700] "GET /myweb/index.jsp HTTP/1.1" 200 1220
0:0:0:0:0:0:0:1 - - [29/Oct/2021:23:08:37 +0700] "GET /myweb/index.jsp HTTP/1.1" 200 1220
0:0:0:0:0:0:0:1 - - [29/Oct/2021:23:08:38 +0700] "GET /myweb/index.jsp HTTP/1.1" 200 1220
0:0:0:0:0:0:0:1 - - [29/Oct/2021:23:08:39 +0700] "GET /myweb/cart?productCode=8601 HTTP/1.1" 200 1671
